,bptf,cbfa2t3h,csf1r,dnmt3a,eif2b1,erg,ets1,ets2,etv6,fli1,gata1,gata2,gata3,gfi1,gfi1b,hhex,hoxa5,hoxa9,hoxb4,ikzf1,itga2b,kit,ldb1,lmo2,lyl1,mecom,meis1,mitf,mpl,myb,nfe2,nkx23,notch,pbx1,prdm16,procr,runx1,scl,sfpi1,sh2b3,smarcc1,tcf7,tet2,vwf
bptf,0.71608,0.055278,0.17443,0.077514,0.24239,-0.18921,0.19253,-0.027218,0.055262,-0.076395,0.26695,-0.35373,-0.24138,0.18767,0.045093,0.065718,-0.010099,0.019154,-0.065701,0.28491,-0.0091135,0.052521,0.010425,-0.10813,-0.020047,-0.21182,-0.12598,-0.053662,-0.28749,0.20635,0.040901,-0.17529,-0.027218,-0.1147,-0.086504,-0.19385,0.11731,0.0050378,-0.043362,-0.087531,0.13124,-0.072713,0.048677,-0.14255
cbfa2t3h,0.055278,0.94973,0.092237,0.094884,0.32845,-0.26129,0.10509,0.050853,0.078305,-0.054555,0.4137,-0.32064,-0.23151,0.19047,0.12471,0.079871,-0.072191,-0.04636,-0.12323,0.29943,0.026247,0.083543,0.033114,-0.16743,-0.02984,-0.24079,-0.18764,-0.028425,-0.322,0.33613,0.15829,-0.27906,-0.066032,-0.10285,-0.097209,-0.26247,0.14201,0.028018,-0.18082,-0.14914,0.12562,-0.1801,-0.014361,-0.2067
csf1r,0.17443,0.092237,1.1121,0.047378,0.33187,-0.26404,-0.0048078,-0.019612,-0.022735,-0.12208,0.26852,-0.51796,-0.37316,0.294,-0.018655,-0.00076032,-0.074614,-0.092757,-0.014788,0.087416,0.21589,-0.33975,-0.10307,-0.28138,-0.13647,-0.56212,-0.32166,0.017437,-0.6261,0.13516,-0.15944,-0.47919,-0.057014,-0.22568,-0.26912,-0.41931,0.12393,-0.0218,0.012667,0.034808,0.07618,0.088646,0.13223,-0.21007
dnmt3a,0.077514,0.094884,0.047378,1.0512,0.28355,-0.26788,0.18692,0.032154,0.031895,-0.09048,0.20349,-0.42499,-0.26307,0.18887,0.0012761,-0.0055756,-0.035664,0.055015,-0.039664,0.16659,0.045406,-0.099119,0.02529,-0.061769,-0.03833,-0.20384,-0.14611,-0.01445,-0.24974,0.12145,-0.069032,-0.12624,0.0028076,-0.14252,-0.080897,-0.16124,0.026916,-0.058419,-0.047401,-0.037182,0.096639,0.021433,-0.0030652,-0.098849
eif2b1,0.24239,0.32845,0.33187,0.28355,1.2266,-0.37985,0.10357,0.070923,0.012935,-0.21992,0.47527,-0.43367,-0.31354,0.15032,0.082276,0.064038,-0.11049,-0.057078,-0.063172,0.17315,0.13678,-0.17165,0.074772,-0.20591,-0.064621,-0.45688,-0.3762,-0.11296,-0.48058,0.21922,-0.029789,-0.34526,-0.1137,-0.16187,-0.2088,-0.39961,0.13592,0.051519,-0.17528,-0.043269,0.21155,0.0024664,0.01836,-0.14802
erg,-0.18921,-0.26129,-0.26404,-0.26788,-0.37985,0.72505,0.29166,-0.067822,0.067882,0.11052,-0.073877,-0.3795,-0.098119,0.27005,-0.13424,0.011542,0.045485,0.1346,-0.017586,0.071933,0.0081674,-0.093114,-0.10123,-0.019855,0.041364,0.074878,0.19651,0.0063501,0.01209,-0.021635,0.0013563,0.047683,0.068921,0.051196,0.028703,0.03364,0.01749,-0.099507,0.14051,-0.036753,-0.08262,-0.081483,-0.039099,0.029211
ets1,0.19253,0.10509,-0.0048078,0.18692,0.10357,0.29166,1.0634,-0.062659,-0.13178,-0.1257,0.19081,-0.25217,-0.085682,0.12154,0.039595,-0.077618,0.00024507,0.035129,0.0068041,-0.028701,0.14596,-0.28624,-0.034212,-0.16261,-0.12326,-0.18091,-0.09342,-0.066172,-0.17239,-0.13844,-0.18975,-0.070979,-0.011504,-0.054789,-0.073373,-0.062333,-0.10655,0.052989,-0.063922,0.069513,-0.11645,0.16412,0.0028913,0.089352
ets2,-0.027218,0.050853,-0.019612,0.032154,0.070923,-0.067822,-0.062659,0.92976,0.01953,-0.12518,0.26812,-0.43066,-0.22575,0.25352,0.10082,0.098517,-0.06125,0.030197,-0.10647,0.16268,-0.099336,-0.06544,0.035598,-0.05955,0.021437,-0.15521,-0.24969,-0.023916,-0.26618,0.15099,0.027043,-0.1182,-0.029933,-0.137,-0.043074,-0.16188,0.06042,-0.060709,-0.11938,-0.045888,0.124,-0.087263,-0.015509,-0.039555
etv6,0.055262,0.078305,-0.022735,0.031895,0.012935,0.067882,-0.13178,0.01953,0.97026,0.020356,0.25642,-0.42213,-0.27934,0.21339,-0.043117,0.064818,-0.084877,0.011015,-0.014417,0.1965,0.073619,-0.035813,-0.027429,-0.045208,-0.04592,-0.22458,0.082643,-0.037859,-0.26281,0.22642,0.015354,-0.23629,0.05112,-0.053619,-0.10183,-0.23467,0.3193,-0.036186,0.17336,-0.092703,0.11998,-0.11587,0.0097085,-0.19777
fli1,-0.076395,-0.054555,-0.12208,-0.09048,-0.21992,0.11052,-0.1257,-0.12518,0.020356,0.80403,0.039174,-0.31747,-0.21785,0.27957,-0.062524,0.056027,-0.032231,0.085038,-0.041523,0.12887,0.15809,0.061331,-0.094459,-0.082252,-0.04798,-0.046381,0.27662,0.045307,-0.07195,0.12968,0.088381,-0.094651,0.011689,0.10829,-0.00070195,-0.11679,0.19579,-0.094142,0.1393,-0.1282,0.078163,-0.068791,-0.018999,0.01985
