"","bptf","cbfa2t3h","csf1r","dnmt3a","eif2b1","erg","ets1","ets2","etv6","fli1","gata1","gata2","gata3","gfi1","gfi1b","hhex","hoxa5","hoxa9","hoxb4","ikzf1","itga2b","kit","ldb1","lmo2","lyl1","mecom","meis1","mitf","mpl","myb","nfe2","nkx23","notch","pbx1","prdm16","procr","runx1","scl","sfpi1","sh2b3","smarcc1","tcf7","tet2","vwf"
"lmpp_002",1.026072325,2.394413245,2.684700445,1.663621805,2.020349455,1.354995595,14.250761225,14.33854771,14.718250205,0.565882394999999,12.847368825,13.535930875,13.217904125,14.62068405,12.377589445,12.92443505,2.357775185,2.696732775,14.638774655,0.242070585,13.734283405,-0.0807991450000003,2.898529615,0.745272755000002,1.789388555,10.958766455,2.733474035,2.711874055,11.91385479,0.807429635000002,3.270574145,12.727203855,7.141215565,4.059725025,14.138817785,10.6322523855,7.603669405,14.708900125,0.00615998500000003,14.690264245,0.640406275,13.013110955,3.099152685,13.028767495
"lmpp_003",2.649629065,1.779967805,1.682114435,1.594074025,2.773564675,0.652428964999999,2.716788065,14.33854771,2.137735615,-0.583428515000001,12.847368825,13.535930875,13.217904125,2.792331725,2.539339985,0.578796375,14.03689202,2.351195375,14.638774655,1.862415125,13.734283405,2.204573885,3.565748195,1.801455015,1.186914545,10.958766455,0.849473374999999,13.62845664,11.91385479,0.807729914999999,1.038647285,1.496194245,7.068106785,5.827694665,14.138817785,10.6322523855,6.495473625,3.039668745,0.651451514999998,14.690264245,0.261993475000001,13.013110955,3.723775705,13.028767495
"lmpp_004",10.308041625,0.588901319999998,4.26532447,-0.55650584,0.00257287999999889,0.619472139999999,14.250761225,1.80959662,0.578037649999999,-0.800090669999999,12.847368825,13.535930875,13.217904125,1.21987499,12.377589445,-0.84899966,14.03689202,0.838885869999999,14.638774655,-0.319380120000002,13.734283405,-0.648826939999999,-0.0217632899999991,-0.942945349999999,-1.20256536,10.958766455,-1.63726833,13.62845664,11.91385479,-0.510351610000001,-0.907496460000001,12.727203855,4.08375376,14.969034275,14.138817785,10.6322523855,4.37853031,0.680929500000001,-0.99370334,5.6431212,-0.965764920000002,13.013110955,1.43093873,13.028767495
"lmpp_007",0.5419418,1.86311346,10.846834425,0.17567322,1.08725417,14.920723655,14.250761225,2.94276013,3.54776809,-0.28681958,12.847368825,13.535930875,0.809919239999999,14.62068405,12.377589445,1.38266679,14.03689202,13.99600288,14.638774655,0.17969897,13.734283405,-0.915038459999998,2.75361904,-0.76949299,-1.26504424,10.958766455,-1.04218873,13.62845664,1.74584805,0.715872600000001,-0.0450318199999984,12.727203855,8.46321067,9.36246407,14.138817785,1.41832542,5.87798443,14.708900125,-0.35573286,14.690264245,-0.0642647600000004,13.013110955,13.93908965,13.028767495
"lmpp_008",0.920894385,2.663729525,2.854863655,2.196509475,2.366309145,0.286165664999999,14.250761225,3.286496615,0.617841254999998,-1.352435595,12.847368825,13.535930875,13.217904125,14.62068405,3.907096575,2.340612925,14.03689202,3.392786935,14.638774655,1.163456855,13.734283405,0.306292934999998,2.313588625,0.274048134999997,0.0400731449999974,10.958766455,-0.741873165000001,13.62845664,3.091705485,0.958515374999998,2.079669105,7.665580615,8.016962225,3.893150115,14.138817785,10.6322523855,5.997487745,14.708900125,0.605170774999998,14.690264245,0.274200314999998,13.013110955,2.135256095,13.028767495
"lmpp_009",-0.523220995000003,14.8791936,1.718317045,0.275096845,1.499837785,-0.378379335000002,14.250761225,1.451136535,2.076156105,-0.560571575000001,12.847368825,13.535930875,13.217904125,14.62068405,1.231463375,12.92443505,0.835007854999997,1.351953395,14.638774655,-0.854910405000002,13.734283405,-1.547237215,-0.107222785000001,13.36636679,13.04331696,10.958766455,-0.895193455000001,13.62845664,11.91385479,1.031192895,0.870843975,1.254962705,5.791896685,14.969034275,14.138817785,10.6322523855,7.798083905,0.116368894999997,-1.202713575,14.690264245,-0.656230435000001,13.013110955,0.171834354999998,13.028767495
"lmpp_010",0.0248299400000001,1.56259248,10.846834425,-0.466827809999998,1.27708678,0.934764919999999,2.74767726,14.33854771,1.31167778,-1.34002196,12.847368825,13.535930875,13.217904125,1.16181434,12.377589445,12.92443505,14.03689202,2.12431671,2.48980102,0.1857343,13.734283405,-0.578716400000001,2.33821233,0.0993109899999993,-0.87433935,10.958766455,-1.43565334,13.62845664,0.921733930000002,1.1146751,0.117631970000001,2.41490121,7.47870578,3.4667898,1.1033988,10.6322523855,5.78068685,3.06588381,-0.382243639999999,14.690264245,0.17588009,13.013110955,3.49134375,13.028767495
"lmpp_011",0.0415910050000008,5.150740745,2.085315085,2.134393485,13.74808015,0.115144375,2.035011775,2.956649375,0.0834354750000017,-0.230902314999998,12.847368825,13.535930875,13.217904125,14.62068405,12.377589445,12.92443505,14.03689202,4.047240195,14.638774655,0.0944360149999994,13.734283405,2.298893115,1.908625415,0.0196764750000007,0.729526705000001,2.534795895,0.00147186499999918,13.62845664,11.91385479,0.180659365,1.349901065,2.704539865,9.639523855,4.272279395,14.138817785,10.6322523855,6.237027875,14.708900125,0.0395265050000013,6.197167095,0.427028945,13.013110955,2.571865245,13.028767495
"lmpp_013",0.407991764999998,14.8791936,1.659164295,1.540055695,13.74808015,0.167020385000001,4.061835495,2.289451235,1.420154615,-1.315938375,12.847368825,13.535930875,13.217904125,1.864464595,2.018812005,12.92443505,14.03689202,1.654412725,14.638774655,0.555738585,13.734283405,0.217734525000001,1.329827805,-0.558340505,-0.491123354999999,10.958766455,-0.421813565000001,13.62845664,11.91385479,2.721865335,0.787238805000001,2.508041335,6.651999915,14.969034275,14.138817785,10.6322523855,8.785772475,14.708900125,-0.783850794999999,14.690264245,1.429046665,13.013110955,5.884234655,13.028767495
"lmpp_014",-0.585190520000001,14.8791936,0.101334300000001,0.761302279999999,1.64316411,0.16577273,4.27340599,2.0051232,0.146636600000001,-1.31508135,12.847368825,4.57593029,13.217904125,3.43575354,12.377589445,0.378483070000001,14.03689202,1.85259442,14.638774655,-0.110292259999998,13.734283405,-0.818508250000001,14.15837979,0.135825790000002,-0.140510689999999,1.90085226,-0.853389400000001,13.62845664,11.91385479,0.0958037500000017,2.3045526,12.727203855,6.54834962,2.94677803,14.138817785,10.6322523855,4.72340608,0.820249430000001,-0.76471141,14.690264245,-0.287163679999999,13.013110955,5.96713858,13.028767495
